SRR2159460	SRR2159457	SRR2159458	SRR2159459	SRR2159461
1	100183121	236	171	94	204	150
1	100341015	195	113	56	154	139
1	100378049	113	74	71	102	95
1	100587029	357	184	113	259	224
1	100606188	105	65	33	95	86
1	100614420	61	50	30	42	57
1	1008024	46	45	46	28	39
1	101188656	222	156	144	172	176
1	101198205	195	166	69	147	181
1	101438068	29	32	12	19	21
1	102270034	751	491	499	595	570
1	103342502	150	116	42	90	114
1	103405891	292	193	209	198	225
1	10366876	73	58	32	32	41
1	10399805	279	183	201	196	127
1	10683138	200	136	283	130	117
1	10700031	209	188	388	164	155
1	107600445	197	190	213	152	212
1	107952290	439	317	187	371	426
1	108025486	478	325	235	385	390
1	108025992	94	64	58	65	68
1	108678845	83	64	22	49	71
1	109180525	340	286	318	312	285
1	109351743	156	113	41	96	117
1	109735414	588	462	578	483	468
1	109812193	369	363	532	379	335
1	109888354	184	104	72	133	109
1	110041939	1373	1114	1459	1218	1152
1	110087019	324	279	394	291	284
1	11018786	253	151	251	154	110
1	110201773	617	473	474	515	504
1	110204339	90	41	82	63	58
1	110259477	524	433	390	450	395
1	110301168	409	340	423	358	364
1	110465784	613	551	660	551	573
1	110465854	583	532	621	551	527
1	110467771	269	217	273	252	257
1	110775730	222	161	238	182	165
1	110999786	278	224	186	237	203
1	110999787	275	224	186	234	200
1	111060704	160	167	211	158	161
1	111441753	260	148	179	191	155
1	111889595	295	253	236	219	204
1	111983295	533	395	320	443	415
1	112031539	456	334	493	376	371
1	112042983	195	158	168	160	145
1	112298736	40	46	54	33	39
1	112524482	151	106	212	116	126
1	113238905	282	211	280	245	201
1	113269853	237	179	119	183	143
1	1133228	238	220	288	174	153
1	114424636	229	155	159	173	182
1	114497360	601	396	295	461	400
1	114634681	119	70	71	79	87
1	115218654	51	49	29	56	52
1	115229510	150	105	84	113	105
1	115229540	158	112	68	120	103
1	115400083	77	47	21	39	41
1	115403450	91	64	38	64	58
1	115466080	71	46	17	38	34
1	115600059	165	99	46	127	129
1	116243127	344	248	137	266	288
1	116612114	77	57	23	62	79
1	116941344	202	138	139	176	152
1	117118239	202	191	176	186	206
1	117307203	155	126	168	141	114
1	117311376	425	390	564	415	384
1	117311479	552	382	708	437	424
1	117576694	94	57	54	59	63
1	117629094	48	38	54	45	40
1	117753422	154	88	133	106	108
1	118067441	158	118	48	126	122
1	118165794	257	207	365	250	262
1	118526460	144	67	43	89	98
1	118596651	409	271	168	339	363
1	11918482	171	117	138	112	84
1	119426738	425	289	348	402	355
1	119427590	182	149	200	141	156
1	119936772	148	115	66	112	136
1	120311313	39	27	31	22	24
1	120311410	49	56	56	44	30
1	120382836	85	66	34	92	53
1	120458953	596	454	395	461	520
1	12343367	277	172	220	182	161
1	12785122	295	129	191	137	108
1	12785477	404	274	421	236	198
1	12786180	410	225	365	301	172
1	12806245	153	109	107	86	95
1	12836017	288	211	303	204	159
1	12837878	267	139	196	159	130
1	14219611	13	25	35	10	18
1	144902542	141	115	64	123	98
1	144921853	571	413	408	448	442
1	145487350	102	62	66	73	80
1	145487351	98	60	67	74	80
1	145561147	80	87	83	80	62
1	146630546	173	161	105	160	168
1	147229645	224	196	172	186	310
1	147230205	115	89	78	92	87
1	147380211	344	229	435	280	259
1	147380353	450	361	643	384	399
1	147380983	420	377	453	371	430
1	14925727	55	51	90	50	51
1	149903930	214	187	128	192	159
1	150447091	142	122	49	113	106
1	150548580	339	308	155	303	232
1	150620230	320	244	105	293	225
1	150620597	195	154	65	142	122
1	150784457	242	156	95	159	168
1	150960428	440	306	333	333	295
1	151023659	238	196	91	218	172
1	151109265	79	64	95	55	43
1	151132278	174	145	95	158	150
1	151138941	614	623	505	567	523
1	151551399	15	11	11	9	17
1	151668328	433	346	245	331	319
1	151688884	107	84	116	111	123
1	151773473	156	137	200	166	157
1	151786028	288	255	335	254	234
1	151798504	72	75	90	74	51
1	151811144	44	48	72	47	38
1	152057285	54	41	23	40	40
1	152126476	208	111	56	148	166
1	152329408	1221	828	899	882	1021
1	152487904	450	363	596	396	458
1	152732718	902	755	890	866	836
1	152882389	693	529	775	595	572
1	152882479	273	209	317	195	208
1	152882501	207	163	248	149	149
1	152883285	28	23	30	44	30
1	152975905	246	182	241	221	239
1	153122259	220	165	145	188	179
1	153177125	113	76	52	75	69
1	153302562	56	38	31	56	63
1	153302856	94	64	75	92	84
1	153391861	222	166	220	229	169
1	153392865	725	467	467	550	553
1	153393282	1982	1443	1604	1676	1591
1	153410677	364	246	269	285	277
1	153430314	192	151	238	160	138
1	153517267	262	236	329	238	220
1	153631673	176	159	207	152	143
1	153633712	204	152	145	172	119
1	153665908	366	311	372	273	272
1	153745643	149	173	193	158	153
